,Content ID,Reaction Type,Reaction Score,Datetime,Content Type,Category,,Sorted,Score
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,45,8/25/2020 8:21,photo,Studying,,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,4/20/2021 23:48,photo,Studying,,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,3/7/2021 12:40,photo,Studying,,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,5/24/2021 3:21,photo,Studying,,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,1/24/2021 11:03,photo,Studying,,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,0,4/9/2021 2:46,photo,Studying,,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,75,2/2/2021 3:43,photo,Studying,,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,2/4/2021 3:06,photo,Studying,,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,10,11/9/2020 2:49,photo,Studying,,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,15,9/29/2020 16:00,photo,Studying,,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,10,11/29/2020 21:33,photo,Studying,,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,70,2/13/2021 7:54,photo,Studying,,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,30,7/14/2020 5:28,photo,Studying,,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,20,8/23/2020 10:30,photo,Studying,,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,12,5/10/2021 9:27,photo,Studying,,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5,3/15/2021 3:59,photo,Studying,,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,10,6/25/2020 17:01,photo,healthy eating,,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,45,9/13/2020 0:11,photo,healthy eating,,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,35,8/20/2020 18:17,photo,healthy eating,,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,15,2/11/2021 4:53,photo,healthy eating,,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5,3/8/2021 10:40,photo,healthy eating,,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,0,3/28/2021 21:15,photo,healthy eating,,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5,5/25/2021 1:00,photo,healthy eating,,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,50,3/15/2021 12:17,photo,healthy eating,,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,65,5/5/2021 16:26,photo,healthy eating,,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,65,8/31/2020 0:21,photo,healthy eating,,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,60,6/16/2021 3:02,photo,healthy eating,,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,20,7/7/2020 10:52,photo,healthy eating,,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,35,8/20/2020 7:59,photo,healthy eating,,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,65,9/23/2020 11:15,photo,healthy eating,,,
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,50,3/24/2021 5:56,photo,healthy eating,,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,5,12/7/2020 19:13,photo,healthy eating,,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,75,8/3/2020 16:41,photo,healthy eating,,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,72,1/10/2021 15:36,photo,healthy eating,,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,15,9/20/2020 8:48,photo,healthy eating,,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,70,7/20/2020 14:06,photo,healthy eating,,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,72,10/24/2020 12:15,photo,healthy eating,,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,30,6/6/2021 1:27,photo,healthy eating,,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,60,12/25/2020 0:09,photo,healthy eating,,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,50,6/14/2021 7:56,photo,healthy eating,,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,50,6/5/2021 18:00,photo,healthy eating,,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,5,11/18/2020 23:37,photo,healthy eating,,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,30,5/9/2021 2:42,photo,healthy eating,,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,10,5/11/2021 8:38,photo,healthy eating,,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,35,11/12/2020 8:00,photo,healthy eating,,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,60,6/21/2020 16:57,photo,healthy eating,,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,75,3/4/2021 23:58,photo,healthy eating,,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,70,7/9/2020 16:47,photo,healthy eating,,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,5,8/1/2020 19:16,photo,healthy eating,,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,10,11/23/2020 22:46,photo,healthy eating,,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,15,12/11/2020 14:08,photo,healthy eating,,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,10,4/23/2021 23:41,photo,healthy eating,,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,70,11/13/2020 0:33,photo,healthy eating,,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,30,6/9/2021 10:13,photo,healthy eating,,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,65,10/29/2020 19:41,photo,healthy eating,,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,60,5/14/2021 12:47,photo,healthy eating,,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,0,8/4/2020 5:40,photo,healthy eating,,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,72,8/7/2020 4:09,photo,healthy eating,,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,72,10/23/2020 21:19,photo,healthy eating,,,
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,72,11/14/2020 23:53,photo,healthy eating,,,
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,12,8/4/2020 19:26,photo,healthy eating,,,
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,30,11/12/2020 4:54,photo,healthy eating,,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,12,4/3/2021 12:17,photo,technology,,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,70,9/27/2020 22:15,photo,technology,,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,60,10/27/2020 5:45,photo,technology,,,
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,15,10/15/2020 9:11,photo,technology,,,
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,60,5/7/2021 9:16,photo,technology,,,
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,5,9/16/2020 8:39,photo,technology,,,
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,20,10/29/2020 15:38,photo,technology,,,
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,15,5/24/2021 18:03,video,food,,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,30,2/25/2021 20:02,GIF,cooking,,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,5,5/2/2021 3:45,GIF,cooking,,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,70,1/28/2021 8:49,GIF,cooking,,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,35,2/15/2021 13:06,GIF,cooking,,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,10,11/4/2020 21:25,GIF,cooking,,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,65,6/23/2020 22:12,GIF,cooking,,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,70,2/16/2021 4:01,GIF,cooking,,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,30,1/3/2021 8:44,GIF,cooking,,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,72,11/25/2020 12:45,GIF,cooking,,,
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,50,12/3/2020 16:47,GIF,cooking,,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,50,5/22/2021 21:03,GIF,cooking,,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,70,1/18/2021 13:39,GIF,cooking,,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,20,1/6/2021 0:35,GIF,cooking,,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,72,5/14/2021 14:33,GIF,cooking,,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,12,5/27/2021 15:21,GIF,cooking,,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,35,7/21/2020 2:12,GIF,cooking,,,
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,10,5/26/2021 6:09,GIF,cooking,,,
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,10,2/25/2021 3:16,GIF,cooking,,,
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,45,12/7/2020 22:50,GIF,cooking,,,
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,20,10/24/2020 14:06,GIF,cooking,,,
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,35,9/1/2020 21:18,GIF,cooking,,,
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,72,5/10/2021 22:07,GIF,cooking,,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,70,2/12/2021 16:37,video,dogs,,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,60,4/28/2021 15:22,video,dogs,,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,45,1/24/2021 0:38,video,dogs,,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,12,3/18/2021 1:53,video,dogs,,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,0,1/14/2021 7:21,video,dogs,,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,60,12/23/2020 4:11,video,dogs,,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5,5/21/2021 7:23,video,dogs,,,
135,3f8590c7-6ab2-4973-805a-90cdec355f05,like,50,3/28/2021 23:25,video,dogs,,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,35,9/16/2020 7:33,video,dogs,,,
137,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,20,11/8/2020 10:53,video,dogs,,,
138,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,60,3/6/2021 5:23,video,dogs,,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,0,1/13/2021 23:35,video,dogs,,,
140,3f8590c7-6ab2-4973-805a-90cdec355f05,want,70,9/6/2020 22:35,video,dogs,,,
141,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,30,6/24/2020 9:31,video,dogs,,,
142,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5,2/7/2021 21:39,video,dogs,,,
143,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,45,1/21/2021 18:28,video,dogs,,,
144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,10,2/27/2021 0:21,video,dogs,,,
145,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,12,8/22/2020 12:06,video,dogs,,,
146,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,70,8/3/2020 6:29,video,dogs,,,
147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,15,8/2/2020 6:20,video,dogs,,,
148,3f8590c7-6ab2-4973-805a-90cdec355f05,want,70,6/4/2021 4:57,video,dogs,,,
149,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,75,10/21/2020 9:07,video,dogs,,,
150,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,10,12/26/2020 19:46,video,dogs,,,
151,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,15,3/2/2021 22:47,video,dogs,,,
152,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,20,3/31/2021 9:48,video,dogs,,,
153,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,30,6/14/2021 13:44,video,dogs,,,
154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,15,12/27/2020 17:04,video,dogs,,,
155,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,15,2/11/2021 3:51,video,dogs,,,
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,30,12/7/2020 19:07,video,dogs,,,
157,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,30,12/28/2020 8:31,video,dogs,,,
158,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,30,10/26/2020 5:27,video,dogs,,,
159,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,12,9/26/2020 18:43,video,dogs,,,
160,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,15,11/25/2020 13:01,video,dogs,,,
161,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,60,7/11/2020 5:51,video,dogs,,,
162,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,60,3/19/2021 16:23,video,dogs,,,
163,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,30,10/11/2020 18:31,video,dogs,,,
164,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,60,11/2/2020 20:15,video,dogs,,,
165,3f8590c7-6ab2-4973-805a-90cdec355f05,want,70,10/1/2020 3:35,video,dogs,,,
166,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,0,2/11/2021 20:10,video,dogs,,,
167,3f8590c7-6ab2-4973-805a-90cdec355f05,want,70,2/7/2021 15:59,video,dogs,,,
168,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5,10/17/2020 11:46,video,dogs,,,
169,3f8590c7-6ab2-4973-805a-90cdec355f05,like,50,8/9/2020 19:41,video,dogs,,,
170,3f8590c7-6ab2-4973-805a-90cdec355f05,love,65,2/1/2021 2:40,video,dogs,,,
171,3f8590c7-6ab2-4973-805a-90cdec355f05,adore,72,1/30/2021 9:36,video,dogs,,,
173,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,want,70,3/31/2021 15:24,video,technology,,,
174,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,super love,75,2/5/2021 17:00,video,technology,,,
175,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,heart,60,2/19/2021 16:29,video,technology,,,
176,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,worried,12,7/25/2020 0:00,video,technology,,,
178,0bedca96-fb76-4287-a83c-17330ed39cce,adore,72,7/13/2020 2:38,photo,soccer,,,
179,0bedca96-fb76-4287-a83c-17330ed39cce,indifferent,20,1/13/2021 13:11,photo,soccer,,,
180,0bedca96-fb76-4287-a83c-17330ed39cce,worried,12,1/2/2021 16:46,photo,soccer,,,
181,0bedca96-fb76-4287-a83c-17330ed39cce,intrigued,45,11/26/2020 2:25,photo,soccer,,,
182,0bedca96-fb76-4287-a83c-17330ed39cce,want,70,8/25/2020 19:18,photo,soccer,,,
183,0bedca96-fb76-4287-a83c-17330ed39cce,hate,5,2/1/2021 0:15,photo,soccer,,,
184,0bedca96-fb76-4287-a83c-17330ed39cce,love,65,6/4/2021 14:36,photo,soccer,,,
185,0bedca96-fb76-4287-a83c-17330ed39cce,adore,72,8/19/2020 13:38,photo,soccer,,,
186,0bedca96-fb76-4287-a83c-17330ed39cce,cherish,70,4/22/2021 2:08,photo,soccer,,,
187,0bedca96-fb76-4287-a83c-17330ed39cce,super love,75,6/26/2020 10:33,photo,soccer,,,
188,0bedca96-fb76-4287-a83c-17330ed39cce,like,50,8/15/2020 18:16,photo,soccer,,,
189,0bedca96-fb76-4287-a83c-17330ed39cce,love,65,11/26/2020 13:42,photo,soccer,,,
191,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,70,4/14/2021 0:56,photo,public speaking,,,
192,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,20,7/21/2020 21:27,photo,public speaking,,,
193,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,10,3/29/2021 6:57,photo,public speaking,,,
194,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,70,5/20/2021 16:11,photo,public speaking,,,
195,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,50,11/2/2020 6:09,photo,public speaking,,,
196,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,20,10/24/2020 15:37,photo,public speaking,,,
197,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,60,9/7/2020 14:42,photo,public speaking,,,
198,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,15,3/4/2021 2:46,photo,public speaking,,,
199,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,72,1/7/2021 14:08,photo,public speaking,,,
200,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,35,7/6/2020 11:18,photo,public speaking,,,
201,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,50,3/27/2021 4:56,photo,public speaking,,,
202,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,45,11/21/2020 21:25,photo,public speaking,,,
203,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,70,8/22/2020 1:25,photo,public speaking,,,
204,b18cb63f-4c8e-44ee-a47f-541e95191d11,peeking,35,6/14/2021 11:45,photo,public speaking,,,
205,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,12,7/15/2020 19:28,photo,public speaking,,,
206,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,45,3/21/2021 14:39,photo,public speaking,,,
207,b18cb63f-4c8e-44ee-a47f-541e95191d11,super love,75,4/7/2021 3:15,photo,public speaking,,,
208,b18cb63f-4c8e-44ee-a47f-541e95191d11,cherish,70,4/24/2021 6:56,photo,public speaking,,,
209,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,60,9/30/2020 14:05,photo,public speaking,,,
210,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,60,7/19/2020 19:28,photo,public speaking,,,
211,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,15,1/21/2021 7:08,photo,public speaking,,,
212,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,15,1/31/2021 13:48,photo,public speaking,,,
213,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,5,12/24/2020 3:24,photo,public speaking,,,
214,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,0,5/27/2021 1:44,photo,public speaking,,,
215,b18cb63f-4c8e-44ee-a47f-541e95191d11,disgust,0,2/13/2021 4:14,photo,public speaking,,,
216,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,72,7/14/2020 4:36,photo,public speaking,,,
217,b18cb63f-4c8e-44ee-a47f-541e95191d11,dislike,10,7/15/2020 16:03,photo,public speaking,,,
218,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,50,10/8/2020 17:23,photo,public speaking,,,
219,b18cb63f-4c8e-44ee-a47f-541e95191d11,heart,60,11/12/2020 23:55,photo,public speaking,,,
220,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,70,2/21/2021 5:01,photo,public speaking,,,
221,b18cb63f-4c8e-44ee-a47f-541e95191d11,intrigued,45,7/9/2020 8:58,photo,public speaking,,,
222,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,72,6/26/2020 23:45,photo,public speaking,,,
223,b18cb63f-4c8e-44ee-a47f-541e95191d11,worried,12,11/20/2020 13:18,photo,public speaking,,,
224,b18cb63f-4c8e-44ee-a47f-541e95191d11,like,50,5/29/2021 21:34,photo,public speaking,,,
225,b18cb63f-4c8e-44ee-a47f-541e95191d11,indifferent,20,2/22/2021 2:48,photo,public speaking,,,
226,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,15,1/7/2021 18:39,photo,public speaking,,,
227,b18cb63f-4c8e-44ee-a47f-541e95191d11,adore,72,10/1/2020 15:10,photo,public speaking,,,
228,b18cb63f-4c8e-44ee-a47f-541e95191d11,hate,5,11/21/2020 8:24,photo,public speaking,,,
229,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,15,4/15/2021 13:50,photo,public speaking,,,
230,b18cb63f-4c8e-44ee-a47f-541e95191d11,love,65,6/30/2020 1:14,photo,public speaking,,,
231,b18cb63f-4c8e-44ee-a47f-541e95191d11,want,70,12/1/2020 15:06,photo,public speaking,,,
232,b18cb63f-4c8e-44ee-a47f-541e95191d11,scared,15,11/7/2020 0:47,photo,public speaking,,,
234,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,75,6/30/2020 13:08,GIF,science,,,
235,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,60,8/4/2020 3:09,GIF,science,,,
236,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,45,7/28/2020 7:01,GIF,science,,,
237,5118e9c5-1377-4cc5-a486-65b35b7b7b76,super love,75,10/25/2020 2:39,GIF,science,,,
238,5118e9c5-1377-4cc5-a486-65b35b7b7b76,worried,12,7/5/2020 3:37,GIF,science,,,
239,5118e9c5-1377-4cc5-a486-65b35b7b7b76,cherish,70,4/28/2021 15:16,GIF,science,,,
240,5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,20,1/31/2021 0:54,GIF,science,,,
241,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,72,8/29/2020 11:37,GIF,science,,,
242,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,45,10/15/2020 12:09,GIF,science,,,
243,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,65,8/2/2020 21:20,GIF,science,,,
244,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,15,10/31/2020 21:46,GIF,science,,,
245,5118e9c5-1377-4cc5-a486-65b35b7b7b76,heart,60,10/12/2020 9:40,GIF,science,,,
246,5118e9c5-1377-4cc5-a486-65b35b7b7b76,want,70,12/12/2020 12:22,GIF,science,,,
247,5118e9c5-1377-4cc5-a486-65b35b7b7b76,like,50,1/9/2021 16:37,GIF,science,,,
248,5118e9c5-1377-4cc5-a486-65b35b7b7b76,hate,5,8/23/2020 4:39,GIF,science,,,
249,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,65,12/22/2020 4:20,GIF,science,,,
250,5118e9c5-1377-4cc5-a486-65b35b7b7b76,disgust,0,11/7/2020 8:49,GIF,science,,,
251,5118e9c5-1377-4cc5-a486-65b35b7b7b76,adore,72,4/17/2021 22:45,GIF,science,,,
252,5118e9c5-1377-4cc5-a486-65b35b7b7b76,scared,15,4/21/2021 0:21,GIF,science,,,
253,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,45,7/19/2020 10:33,GIF,science,,,
254,5118e9c5-1377-4cc5-a486-65b35b7b7b76,intrigued,45,7/6/2020 2:08,GIF,science,,,
255,5118e9c5-1377-4cc5-a486-65b35b7b7b76,love,65,3/26/2021 5:42,GIF,science,,,
258,0be59876-d70c-486c-8e0b-a06bef7a2cd6,cherish,70,9/13/2020 11:24,GIF,tennis,,,
259,0be59876-d70c-486c-8e0b-a06bef7a2cd6,worried,12,1/28/2021 21:06,GIF,tennis,,,
260,0be59876-d70c-486c-8e0b-a06bef7a2cd6,indifferent,20,1/20/2021 1:15,GIF,tennis,,,
